question,answer
What was the original name of Pittsburgh before it was renamed?,Fort Duquesne
When was Pittsburgh officially founded?,1758
Who was responsible for naming Pittsburgh?,General John Forbes
What is Pittsburgh's nickname related to its bridges?,City of Bridges
What is the motto of Pittsburgh?,Benigno Numine
What year was Pittsburgh incorporated as a city?,1816
Who is the current mayor of Pittsburgh?,Ed Gainey
What is the highest elevation point in Pittsburgh?,1370 ft
What is the population of Pittsburgh according to the 2020 census?,302971
What major river forms at the confluence of the Allegheny and Monongahela rivers in Pittsburgh?,Ohio River
What industry was Pittsburgh historically known for?,Steel industry
Which university in Pittsburgh is known for its research and development leaders?,Carnegie Mellon University
What is the name of Pittsburgh's major league baseball team?,Pittsburgh Pirates
In what year did Pittsburgh host the G20 summit?,2009
What is the name of the tallest building in downtown Pittsburgh?,U.S. Steel Tower
Which district in Pittsburgh contains many theaters and arts venues?,Cultural District
What is the name of the famous incline in Pittsburgh that offers views of the city?,Duquesne Incline
Which neighborhood in Pittsburgh is known as its Little Italy?,Bloomfield
What is the name of Pittsburgh's zoo and aquarium?,Pittsburgh Zoo & Aquarium
When did CMU begin offering graduate degrees?,1919
What is the name of CMU's college for fine arts?,College of Fine Arts
Who was the first PhD graduate from Carnegie Tech?,Mao Yisheng
In what year did Pittsburgh experience severe flooding that led to significant changes in infrastructure?,1936
Which river trail connects Pittsburgh to Washington D.C.?,Great Allegheny Passage
What historical event did Fort Pitt play a central role in during its early history?,French and Indian War
Which major bank headquartered in Pittsburgh is among the nation's largest banks?,PNC Financial Services
What was one of the earliest industries in Pittsburgh after its founding?,Boat building
Which famous playwright from Pittsburgh wrote extensively about African American life in his hometown?,August Wilson
Which museum in Pittsburgh is dedicated to contemporary art and named after a famous pop artist from the city?,Andy Warhol Museum
What major healthcare provider operates out of Pittsburgh and is among its largest employers?,University of Pittsburgh Medical Center (UPMC)
What year did Andrew Carnegie begin steel production near Pittsburgh marking a significant industrial era for the city?,1875
In what year was the first professional football game played in Pittsburgh marking a historical moment for sports in the city?,1892
Which neighborhood in Pittsburgh is known for its steep streets and outdoor stairways offering city views?,South Side Slopes
What architectural style characterizes many historic homes on Pittsburgh's North Side?,Victorian style
Which park marks the point where three rivers converge in downtown Pittsburgh?,Point State Park
What annual festival celebrates pickles and draws crowds to downtown Pittsburgh each year?,Picklesburgh Festival
Which major university in Oakland—a neighborhood in Pittsburgh—has a renowned medical school and research programs?,University of Pittsburgh
In what year did the Great Fire of 1845 occur leading to major rebuilding efforts in downtown Pittsburgh?,1845
Who founded Westinghouse Electric Company in 1886 contributing significantly to industrial advancements in Pittsburgh?,George Westinghouse
In which neighborhood would you find most of Carnegie Mellon University's campus buildings?,Oakland
How many bridges does Pittsburgh have?,446 bridges
Which famous jazz musician and composer grew up and was educated in Pittsburgh?,Billy Strayhorn
What significant environmental project began post-World War II to clean up air pollution in Pittsburgh?,Renaissance Project
In what year did UPMC Children's Hospital open its new campus with innovative patient care approaches?,2009
What type of climate does Pittsburgh have according to Köppen climate classification?,Humid continental climate (Dfa)
Who is credited with developing one of the first successful polio vaccines while at University of Pittsburgh?,Jonas Salk
In what year did Allegheny City merge with Pittsburgh despite local protests?,1907
Which major historical treaty allowed Pennsylvania to purchase land from Native American tribes around modern-day Pittsburgh?,Treaty of Fort Stanwix (1768)
In which neighborhood can you find Phipps Conservatory and Botanical Gardens?,Oakland
Who was responsible for designing Point State Park at the confluence of three rivers?,Ralph Griswold
In what year did Andrew Carnegie open his first steel mill near Braddock Pennsylvania?,1875 (Edgar Thomson Steel Works)
What major event caused demographic shifts in East Liberty due to redevelopment efforts?,Construction of Penn Center Mall (1960s)
In which neighborhood would you find Heinz Hall for Performing Arts?,Cultural District (Downtown)
When was Allegheny County created to govern areas including modern-day Pittsburgh?,March 8 1771
In which year did U.S. Steel form by merging Carnegie Steel Company with other companies?,1901 (by J.P. Morgan)
What renowned cultural institution houses extensive dinosaur collections among other exhibits?,Carnegie Museum of Natural History
In which neighborhood can you find Randyland?,North Side (Mexican War Streets)
When was Allegheny General Hospital founded as one of America's earliest hospitals west of Atlantic Plain?,1882 (as part of Allegheny Health Network)
In which neighborhood would you find Bakery Square home to Google's offices?,East Liberty/Larimer border area.
When did Fort Pitt become a strategic British stronghold during Pontiac's War?,1763 (siege lifted after Battle of Bushy Run)
Who led efforts establishing Czechoslovakia through signing The Pittsburg Agreement?,T.G. Masaryk (May 1918)
