Page Name,URL,Scraped Content
Things to Do,https://carnegiemuseums.org/things-to-do/,"

Whether you’re looking for a one-of-a-kind date night, meaningful family fun, or simply to be inspired by the wonders of art, science, and natural history, you’ll discover it at Carnegie Museums. Four distinctive museums. So many incredible experiences.
From curious preschoolers to art-loving great-grandparents and every age and interest in between, Carnegie Museums is the destination for lifelong learning.
Dinosaurs and the art of Andy Warhol. Toss in a World War II submarine, original Monets, and  exhibitions dedicated to robots and the science of sports. And that’s only what makes us permanently interesting. We also boast constantly changing art and science exhibitions—something for everyone.
Millions of scientific specimens and 40,000 art objects are the inspiration for our research, exhibits, and educational programs.
Join our member family and gain insider access.

©2024 Carnegie Museums of Pittsburgh"
Shop Our Stores,https://stores.carnegiemuseums.org/,"












© 2024 Carnegie Museums of Pittsburgh Stores"
View Our Exhibitions,https://carnegiemuseums.org/things-to-do/view-our-exhibitions/,"

Where else can you see dinosaurs AND the art of Andy Warhol? Toss in a World War II submarine, original Monets and Degas, life-size casts of some of the world’s great architecture, and two of the largest displays of robots and the science of sports on the planet. And that’s just what makes us permanently interesting. Our museums also create and host dozens of special exhibitions each year.
Canvasing the world’s art right here in Pittsburgh.
Dinosaurs. Lions, tigers, and bears. And Egyptian mummies, too.
Where science and technology connect with everyday life.
Where the world comes to see and learn about Andy.
Sleepovers, adults-only fun, stargazing, and more!
Sleepovers, adults-only fun, stargazing, and more!
From curious preschoolers to art-loving great-grandparents and every age and interest in between, Carnegie Museums is the destination for lifelong learning.
From curious preschoolers to art-loving great-grandparents and every age and interest in between, Carnegie Museums is the destination for lifelong learning.
Some 22 million scientific specimens and 40,000 art objects are the inspiration for our research, exhibits, and educational programs.
Some 22 million scientific specimens and 40,000 art objects are the inspiration for our research, exhibits, and educational programs.
Your museums are here for you. We have so many creative resources you can access anytime, anywhere.
Your museums are here for you. We have so many creative resources you can access anytime, anywhere.

©2024 Carnegie Museums of Pittsburgh"
Explore Our Collections,https://carnegiemuseums.org/things-to-do/explore-our-collections/,"

Individually, Carnegie Museum’s collections are impressive. Together, they’re unparalleled in scope and diversity. Our museums are home to some of the most historically significant and artistically brilliant collections in the world—the foundation of the museums’ expansive research, exhibitions, and educational offerings.
With a collection of more than 30,000 works, areas of excellence include Old Master prints and drawings, nearly 3,000 Japanese prints, Impressionism, the expansive Teenie Harris Archive, our film and video archive, and contemporary art from the 1980s to the present, along with iconic works from other eras.
A wondrous collection of millions of objects and scientific specimens used every day to broaden our understanding of the history of Earth, evolution, conservation, and biodiversity.
It’s the definitive collection of all things Warhol, including the artist’s 610 Time Capsules and 12,000 paintings, drawings, prints, photographs, sculpture, films, and videos. Archives include more than 500,000 objects.
Sleepovers, adults-only fun, stargazing, and more!
Sleepovers, adults-only fun, stargazing, and more!
From curious preschoolers to art-loving great-grandparents and every age and interest in between, Carnegie Museums is the destination for lifelong learning.
From curious preschoolers to art-loving great-grandparents and every age and interest in between, Carnegie Museums is the destination for lifelong learning.
Dinosaurs and the art of Andy Warhol. A World War II sub, original Monets, and the largest exhibition dedicated to robots.
Dinosaurs and the art of Andy Warhol. A World War II sub, original Monets, and the largest exhibition dedicated to robots.
Get up-close with dinosaurs, discover secrets of DNA, and learn what it’s like to be a scientist in the field.
Get up-close with dinosaurs, discover secrets of DNA, and learn what it’s like to be a scientist in the field.

©2024 Carnegie Museums of Pittsburgh"
Learn With Us,https://carnegiemuseums.org/things-to-do/learn-with-us/,"

Learning new things never gets old. From the youngest explorers to retired art aficionados, our real objects and expert guides spark imagination, creativity, and lifelong connections with art, science, and natural history. Light that fire in your children or your students, and be inspired yourself!
Sleepovers, adults-only fun, stargazing, and more!
Sleepovers, adults-only fun, stargazing, and more!
Dinosaurs and the art of Andy Warhol. A World War II sub, original Monets, and the largest exhibition dedicated to robots.
Dinosaurs and the art of Andy Warhol. A World War II sub, original Monets, and the largest exhibition dedicated to robots.
Some 22 million scientific specimens and 40,000 art objects are the inspiration for our research, exhibits, and educational programs.
Some 22 million scientific specimens and 40,000 art objects are the inspiration for our research, exhibits, and educational programs.
Your museums are here for you. We have so many creative resources you can access anytime, anywhere.
Your museums are here for you. We have so many creative resources you can access anytime, anywhere.

©2024 Carnegie Museums of Pittsburgh"
Calendar,https://carnegiemuseums.org/events/,"(You must reset filters after each search.)

©2024 Carnegie Museums of Pittsburgh"
Plan a Visit,https://carnegiemuseums.org/plan-a-visit/,"

ADDRESS:4400 Forbes AvenuePittsburgh, PA 15213412.622.3131
HOURS:Mon., Wed., Fri.-Sun. 10 a.m.–5 p.m.Thurs.: 10 a.m.–8 p.m.;Closed Tuesdays
HOLIDAYS/CLOSINGS:The museums are closed on Easter, Thanksgiving, Christmas, and New Year’s Day. Closing at 3 p.m. on Christmas Eve and New Year’s Eve. Open Tuesday Dec. 26.
ADMISSION:Plan your next visit withtimed ticketing.
Adults:$25Seniors (65+):$20Students with ID/Children age 3–18:$15Members/Children 2 and under:FreeWeekdays after 3 p.m.: Half-price admission
SPECIAL OFFERS:Seediscounts and offersfor active U.S. Military, students, teachers, and more.
PARKING:The parking lot is located directly behind the museum and may be accessed from the intersection of Forbes Avenue and South Craig Street. Cash and credit cards are accepted at pay stations, and credit cards only are accepted at the parking lot exit lanes.
DINING:Café Carnegieis open for on-site dining or for takeout on Monday, Tuesday, Wednesday, Friday, Saturday, and Sunday from 11 a.m.-3 p.m., Thursday 11 a.m. to 3 p.m., 5 p.m. to 8 p.m. and the Coffee and Wine Bar is open Monday, Tuesday Wednesday, Friday, Saturday, and Sunday from 9a.m.-5 p.m., Thursday 9 a.m. to 8 p.m.Fossil Fuelsis open Monday, Wednesday, Thursday, and Friday 8 a.m. to 4 p.m., Tuesday 8 a.m. to 2 p.m., Saturday, Sunday 10 a.m. to 4 p.m.
ACCESSIBILITY:The museums are continually working to make programs and exhibitionsaccessible to all visitors.
ADDRESS:One Allegheny AvenuePittsburgh, PA 15212412.237.3400
HOURS:Open Daily 10 a.m.–5 p.m.;Closed Tuesdays
CLOSINGS/HOLIDAYS:Closed Thanksgiving, Christmas, and dates of home Steelers games and other major events at Acrisure Stadium. See the Science Center’sMuseum Hourspage for complete details.
ADMISSION:Plan your next visit withtimed ticketing.
Seepricing.SPECIAL OFFERS:Seediscounts and offers.
PARKING:$6 per vehicle. You can use the pay station to pay for parking at the beginning of your visit, as you are leaving, or any time in between.
DINING:The River View Café is open from 10 a.m.-3 p.m.
ACCESSIBILITY:The museums are continually working to make programs and exhibitionsaccessible to all visitors.


ADDRESS:117 Sandusky StreetPittsburgh, PA 15212-5890412.237.8300
HOURS:Mon., Wed., Thurs., Sat., Sun. 10 a.m.–5 p.m.Fri. 10 a.m.–10 p.m. (half price 5–10 p.m.)Closed Tuesdays
HOLIDAYS/CLOSINGS:The museum is closed on Easter, Thanksgiving, Christmas, and New Year’s Day. Closing at 3 p.m. on Christmas Eve and New Year’s Eve. Open Tuesday De. 26.
ADMISSION:Plan your next visit withtimed ticketing.
Adults:$25Students with valid ID:$13Seniors (65+):$13Children (3-18):$13Members/Children 2 and under:FreeFridays 5–10 p.m.:Half-price admission
SPECIAL OFFERS:Half-priced admission from 5–10 p.m. every Friday. See additionaldiscounts and offers.
PARKING:Museum parking is located one block north of the museum on Sandusky Street ($8). Additional public parking is available behind the museum in the General Robinson Street parking garage (average $6, prices may vary during nearby stadium events).
DINING:TheWarhol Caféis open during museum hours and accessible without museum admission.
ACCESSIBILITY:The museums are committed to providing excellent experiences for all visitors. Learn more aboutaccessibility accommodations.

©2024 Carnegie Museums of Pittsburgh"
Members,https://carnegiemuseums.org/join-support/membership/,"

YOU BELONG HERE. As a member of Carnegie Museums of Pittsburgh, enjoy free admission to Carnegie Museums of Art and Natural History, Carnegie Science Center, and The Andy Warhol Museum. Share the museums with friends and family. Learn something new on members-only tours. And feel good about supporting the museums—and the community—you love.

©2024 Carnegie Museums of Pittsburgh"
Join & Support,https://carnegiemuseums.org/join-support/,"

Become part of the Carnegie Museums community as a member and supporter. Explore the world with us through free admission to our four museums—Carnegie Museums of Art and Natural History, Carnegie Science Center, and The Andy Warhol Museum. Enjoy special events, store and café discounts, and free reciprocal admission to other museums and science centers across the country. And know that your support matters, today and for generations to come.
Find yourself at Carnegie Museums: Choose from among five membership levels—all with unlimited free admission and members-only benefits.
The four Carnegie Museums reach 1.4 million people a year—including more than 380,000 school children. Your support is a gift to them, and to future generations who will experience Carnegie Museums thanks to your generosity.
The Advancement & Community Engagement Team is glad to answer your questions or update your contact information. We’re available every Monday through Friday from 8:30 a.m. to 5 p.m., so please feel free to email, call, or tweet at us. We strive to answer every call personally and to respond to all emails within one business day.
Email:membership@carnegiemuseums.orgPhone: 412.622.3314

©2024 Carnegie Museums of Pittsburgh"
Great Event Spaces,https://carnegiemuseums.org/great-event-spaces/,"

Whether you’re planning a wedding, corporate event, or family party, let our team at Carnegie Museums help you make it a memorable, one-of-a-kind experience.
At the four Carnegie Museums, you can choose from more than 20 event spaces that bring distinctive style to weddings, cocktail parties, anniversary celebrations, and business events. We can open museum galleries and gift stores for your guests. Have your party in a museum for an experience they won’t soon forget. Create any atmosphere—elegant, iconic, dramatic, or out-of-this-world—in our many great event spaces.
Tell us about your event and let us get back to you with ideas.Complete an About My Event form.
Image Gallery
Home of Carnegie Museums of Art and Natural History, consider making this historic building the site of your next special event. From gilded halls to contemporary corridors, including: Carnegie Music Hall and its resplendent Music Hall Foyer, arguably the grandest event space in the city; the iconic Hall of Architecture and Hall of Sculpture; Scaife Foyer, a contemporary space ideal for large cocktail receptions; the Foster Overlook to Carnegie’s world-famous dinosaurs; and the stately Founder’s Room, where Andrew Carnegie once greeted his museum visitors. Reserve an entire museum or arrange a private tour and reception for your guests.
From its scenic perch along Pittsburgh’s North Shore, the Science Center doesn’t just peruse the mysteries of the universe—it offers unmatched views of Pittsburgh’s famous skyline and rivers, with plenty of convenient parking, lively exhibits, and cool ideas for truly original events.Pointview Hall offers a panoramic view ofPittsburgh iconic bridges, Point State Park, the three rivers, and Mount Washington.
Why not give your next function a truly hip feel? There’s no more intriguing or distinctive space in Pittsburgh—the definitive home of the art and Pop sensibility of native-son Andy Warhol. The museum’s bold, bright lobby holds 120 seated guests and 200 for cocktails. Invite your guests to mingle with celebrities on a custom tour; or rent the entire museum for an evening. You can also host business meetings, lectures, or symposiums in the museum’s state-of-the-art film and video theater.
Make your wedding day truly memorable by celebrating it at one of the distinctively special Carnegie Museums. Our events and catering teams will work with you to create just the right atmosphere in just the right space, large or small.
Note:Carnegie Museums reserves the right to decline or cancel bookings for our Event Spaces because of concerns regarding property damage, safety risks, legal liability and/or reputational harm to Carnegie Museums.  Further, Carnegie Museums does not accept bookings for partisan political events or fundraisers, including voter education, registration and get-out-the-vote drives led by partisan groups.

©2024 Carnegie Museums of Pittsburgh"
